id,category,common_name,slug,diagnostic,prompt,status
28,Panfish,Yellow Perch,yellow_perch,"golden-yellow body with six to eight dark vertical bars, orange lower fins, two separate dorsal fins","Cartoon-style illustration of a Yellow Perch. golden-yellow body with six to eight dark vertical bars, orange lower fins, two separate dorsal fins. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
29,Panfish,White Perch,white_perch,"plain silvery-grey deep body with no bars in the adult, arched back, two joined dorsal fins","Cartoon-style illustration of a White Perch. plain silvery-grey deep body with no bars in the adult, arched back, two joined dorsal fins. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
30,Panfish,Redbreast Sunfish,redbreast_sunfish,"bright orange-red breast, long narrow all-black ear flap, blue streaks across the cheek","Cartoon-style illustration of a Redbreast Sunfish. bright orange-red breast, long narrow all-black ear flap, blue streaks across the cheek. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
31,Catfish,Channel Catfish,channel_catfish,"slender silvery-olive body with scattered small dark spots, deeply forked tail, long whisker barbels","Cartoon-style illustration of a Channel Catfish. slender silvery-olive body with scattered small dark spots, deeply forked tail, long whisker barbels. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
32,Catfish,Blue Catfish,blue_catfish,"slate blue-grey unspotted body, deeply forked tail, straight-edged anal fin with a long base","Cartoon-style illustration of a Blue Catfish. slate blue-grey unspotted body, deeply forked tail, straight-edged anal fin with a long base. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
33,Catfish,Flathead Catfish,flathead_catfish,"mottled yellow-brown body, broad flattened head, protruding lower jaw, squared tail that is NOT forked, small high-set eyes","Cartoon-style illustration of a Flathead Catfish. mottled yellow-brown body, broad flattened head, protruding lower jaw, squared tail that is NOT forked, small high-set eyes. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
34,Catfish,Black Bullhead,black_bullhead,"stocky dark body, black chin barbels, squared tail with a pale bar at its base","Cartoon-style illustration of a Black Bullhead. stocky dark body, black chin barbels, squared tail with a pale bar at its base. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
35,Catfish,Brown Bullhead,brown_bullhead,"mottled brown body, dark mottled chin barbels, slightly notched tail","Cartoon-style illustration of a Brown Bullhead. mottled brown body, dark mottled chin barbels, slightly notched tail. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
36,Catfish,Yellow Bullhead,yellow_bullhead,"yellow-olive body with clean white or pale yellow chin barbels, rounded tail","Cartoon-style illustration of a Yellow Bullhead. yellow-olive body with clean white or pale yellow chin barbels, rounded tail. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
37,Catfish,Madtom,madtom,"very small mottled brown catfish with the adipose fin fused to the tail fin, stout barbels","Cartoon-style illustration of a Madtom. very small mottled brown catfish with the adipose fin fused to the tail fin, stout barbels. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
38,Pike & Muskie,Northern Pike,northern_pike,"long torpedo body, flat duck-bill snout, rows of light bean-shaped spots on a dark green background, rounded tail lobes","Cartoon-style illustration of a Northern Pike. long torpedo body, flat duck-bill snout, rows of light bean-shaped spots on a dark green background, rounded tail lobes. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
39,Pike & Muskie,Muskellunge,muskellunge,"long body with dark vertical bars and spots on a light silver-olive background, the reverse of a pike's pattern, pointed tail lobes","Cartoon-style illustration of a Muskellunge. long body with dark vertical bars and spots on a light silver-olive background, the reverse of a pike's pattern, pointed tail lobes. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
40,Pike & Muskie,Tiger Muskie,tiger_muskie,"bold irregular dark vertical tiger stripes over a gold-green background, rounded fins, hybrid build","Cartoon-style illustration of a Tiger Muskie. bold irregular dark vertical tiger stripes over a gold-green background, rounded fins, hybrid build. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
41,Pike & Muskie,Chain Pickerel,chain_pickerel,"slender green body with a bold dark chain-link reticulated pattern, dark vertical teardrop bar below the eye","Cartoon-style illustration of a Chain Pickerel. slender green body with a bold dark chain-link reticulated pattern, dark vertical teardrop bar below the eye. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
42,Pike & Muskie,Redfin Pickerel,redfin_pickerel,small slender pickerel with orange-red fins and a dark teardrop bar below the eye,"Cartoon-style illustration of a Redfin Pickerel. small slender pickerel with orange-red fins and a dark teardrop bar below the eye. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
43,Walleye & Sauger,Walleye,walleye,"gold-olive body, large glassy opaque white eye, dark blotch at the rear of the spiny dorsal fin, distinct white tip on the lower tail lobe","Cartoon-style illustration of a Walleye. gold-olive body, large glassy opaque white eye, dark blotch at the rear of the spiny dorsal fin, distinct white tip on the lower tail lobe. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
44,Walleye & Sauger,Sauger,sauger,"brassy body with dark saddle-shaped blotches, rows of distinct spots across the spiny dorsal fin, no white tail tip","Cartoon-style illustration of a Sauger. brassy body with dark saddle-shaped blotches, rows of distinct spots across the spiny dorsal fin, no white tail tip. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
45,Walleye & Sauger,Saugeye,saugeye,"hybrid intermediate: faint dark saddles plus some spotting on the spiny dorsal, faint white tail tip","Cartoon-style illustration of a Saugeye. hybrid intermediate: faint dark saddles plus some spotting on the spiny dorsal, faint white tail tip. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
46,"Carp, Gar & Rough Fish",Common Carp,common_carp,"heavy brassy-gold body with large visible scales, two pairs of barbels at the mouth, long serrated dorsal fin","Cartoon-style illustration of a Common Carp. heavy brassy-gold body with large visible scales, two pairs of barbels at the mouth, long serrated dorsal fin. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
47,"Carp, Gar & Rough Fish",Grass Carp,grass_carp,"elongated olive-silver body with large dark-edged scales, no barbels, short dorsal fin, blunt head","Cartoon-style illustration of a Grass Carp. elongated olive-silver body with large dark-edged scales, no barbels, short dorsal fin, blunt head. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
48,"Carp, Gar & Rough Fish",Bighead Carp,bighead_carp,"very large head with low-set eyes below the mouth line, dark grey blotchy mottling, no barbels","Cartoon-style illustration of a Bighead Carp. very large head with low-set eyes below the mouth line, dark grey blotchy mottling, no barbels. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
49,"Carp, Gar & Rough Fish",Silver Carp,silver_carp,"bright silver body, smaller head than bighead, eyes set very low, upturned mouth, keeled belly","Cartoon-style illustration of a Silver Carp. bright silver body, smaller head than bighead, eyes set very low, upturned mouth, keeled belly. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
50,"Carp, Gar & Rough Fish",Bigmouth Buffalo,bigmouth_buffalo,"dark bronze sucker-like body with a large terminal mouth angled upward, long dorsal fin","Cartoon-style illustration of a Bigmouth Buffalo. dark bronze sucker-like body with a large terminal mouth angled upward, long dorsal fin. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
51,"Carp, Gar & Rough Fish",Smallmouth Buffalo,smallmouth_buffalo,bronze body with a steeply arched back and a small downturned subterminal mouth,"Cartoon-style illustration of a Smallmouth Buffalo. bronze body with a steeply arched back and a small downturned subterminal mouth. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
52,"Carp, Gar & Rough Fish",Black Buffalo,black_buffalo,"dark bronze-black cylindrical body, mouth intermediate between the other buffalo species","Cartoon-style illustration of a Black Buffalo. dark bronze-black cylindrical body, mouth intermediate between the other buffalo species. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
53,"Carp, Gar & Rough Fish",Freshwater Drum,freshwater_drum,"silvery body with a high arched back, blunt snout with a subterminal mouth, rounded tail","Cartoon-style illustration of a Freshwater Drum. silvery body with a high arched back, blunt snout with a subterminal mouth, rounded tail. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
54,"Carp, Gar & Rough Fish",Bowfin,bowfin,"long cylindrical olive body, very long undulating dorsal fin running most of the back, bony plated head, black eyespot ringed in orange at the tail base","Cartoon-style illustration of a Bowfin. long cylindrical olive body, very long undulating dorsal fin running most of the back, bony plated head, black eyespot ringed in orange at the tail base. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
55,"Carp, Gar & Rough Fish",Longnose Gar,longnose_gar,"cylindrical armored body with an extremely long narrow toothed beak roughly twice the length of the head, diamond-shaped scales","Cartoon-style illustration of a Longnose Gar. cylindrical armored body with an extremely long narrow toothed beak roughly twice the length of the head, diamond-shaped scales. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
56,"Carp, Gar & Rough Fish",Shortnose Gar,shortnose_gar,cylindrical olive-brown gar with a short broad snout and dark spots on the rear fins,"Cartoon-style illustration of a Shortnose Gar. cylindrical olive-brown gar with a short broad snout and dark spots on the rear fins. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
57,"Carp, Gar & Rough Fish",Spotted Gar,spotted_gar,"gar with bold dark round spots across the head, body, and all fins, medium-length snout","Cartoon-style illustration of a Spotted Gar. gar with bold dark round spots across the head, body, and all fins, medium-length snout. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
58,"Carp, Gar & Rough Fish",Alligator Gar,alligator_gar,massive heavy-bodied gar with a broad short alligator-like snout and two rows of teeth in the upper jaw,"Cartoon-style illustration of an Alligator Gar. massive heavy-bodied gar with a broad short alligator-like snout and two rows of teeth in the upper jaw. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
59,"Carp, Gar & Rough Fish",Quillback,quillback,"deep silvery compressed sucker with a dramatically elongated first dorsal ray forming a tall quill, downturned mouth","Cartoon-style illustration of a Quillback. deep silvery compressed sucker with a dramatically elongated first dorsal ray forming a tall quill, downturned mouth. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
60,Sturgeon,Lake Sturgeon,lake_sturgeon,"olive-brown prehistoric body with five rows of bony scutes, four barbels ahead of a protrusible mouth, shark-like upturned tail","Cartoon-style illustration of a Lake Sturgeon. olive-brown prehistoric body with five rows of bony scutes, four barbels ahead of a protrusible mouth, shark-like upturned tail. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
61,Sturgeon,White Sturgeon,white_sturgeon,very large grey sturgeon with a short blunt snout and barbels set closer to the snout tip than the mouth,"Cartoon-style illustration of a White Sturgeon. very large grey sturgeon with a short blunt snout and barbels set closer to the snout tip than the mouth. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
62,Sturgeon,Shovelnose Sturgeon,shovelnose_sturgeon,small pale sturgeon with a broad flattened shovel-shaped snout and a long trailing filament on the upper tail lobe,"Cartoon-style illustration of a Shovelnose Sturgeon. small pale sturgeon with a broad flattened shovel-shaped snout and a long trailing filament on the upper tail lobe. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
63,Sturgeon,Pallid Sturgeon,pallid_sturgeon,pale grey-white slender sturgeon with a long flattened pointed snout,"Cartoon-style illustration of a Pallid Sturgeon. pale grey-white slender sturgeon with a long flattened pointed snout. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
64,Other Freshwater Fish,Cisco,cisco,"slender silvery herring-like body with a terminal mouth, small adipose fin, deeply forked tail","Cartoon-style illustration of a Cisco. slender silvery herring-like body with a terminal mouth, small adipose fin, deeply forked tail. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
65,Other Freshwater Fish,Lake Whitefish,lake_whitefish,silvery body with a distinctly humped back behind the head and a small subterminal mouth beneath a blunt snout,"Cartoon-style illustration of a Lake Whitefish. silvery body with a distinctly humped back behind the head and a small subterminal mouth beneath a blunt snout. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
66,Other Freshwater Fish,Burbot,burbot,"elongated eel-like cod with mottled brown and yellow marbling, a single barbel on the chin, very long second dorsal fin","Cartoon-style illustration of a Burbot. elongated eel-like cod with mottled brown and yellow marbling, a single barbel on the chin, very long second dorsal fin. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
